HRT,HURLBURT FLD,MARY ESTHER,U,30,25,40,86,41,21,38
BAB,BEALE AFB,MARYSVILLE,U,39,8,9,121,26,11,113
MSS,MASSENA INTERNATIONAL RICHARDS FLD,MASSENA,U,44,56,9,74,50,43,215
YNM,MATAGAMI,MATAGAMI,C,49,45,42,77,48,10,918
YMA,MAYO,MAYO,C,63,37,0,135,52,0,1653
MLC,MC ALESTER RGNL,MCALESTER,U,34,52,56,95,47,0,770
MFE,MC ALLEN MILLER INTERNATIONAL,MCALLEN,U,26,10,33,98,14,19,107
YLJ,MEADOW LAKE,MEADOW LAKE,C,54,7,31,108,31,22,1576
YXH,MEDICINE HAT,MEDICINE HAT,C,50,1,8,110,43,15,2352
MLB,MELBOURNE INTERNATIONAL,MELBOURNE,U,28,6,9,80,38,42,33
MEM,MEMPHIS INTERNATIONAL,MEMPHIS,U,35,2,32,89,58,36,341
MER,CASTLE,MERCED,U,37,22,49,120,34,5,189
NMM,MERIDIAN NAS,MERIDIAN,U,32,33,7,88,33,20,317
MIA,MIAMI INTERNATIONAL,MIAMI,U,25,47,35,80,17,26,8
OPF,OPA LOCKA,MIAMI,U,25,54,25,80,16,42,8
TNT,DADE COLLIER TRAINING AND TRANSITION,MIAMI,U,25,51,42,80,53,49,13
MAF,MIDLAND INTERNATIONAL,MIDLAND,U,31,56,33,102,12,6,2871
NQA,MILLINGTON MUNI,MILLINGTON,U,35,21,24,89,52,13,320
MLT,MILLINOCKET MUNI,MILLINOCKET,U,45,38,52,68,41,8,408
MIV,MILLVILLE MUNI,MILLVILLE,U,39,22,4,75,4,20,85
NSE,WHITING FLD NAS NORTH,MILTON,U,30,43,27,87,1,19,200
MKE,GENERAL MITCHELL INTERNATIONAL,MILWAUKEE,U,42,56,50,87,53,47,723
MWL,MINERAL WELLS,MINERAL WELLS,U,32,46,53,98,3,36,973
MSP,MINNEAPOLIS ST PAUL INTERNATIONAL,MINNEAPOLIS,U,44,52,49,93,13,0,841
MIB,MINOT AFB,MINOT,U,48,24,56,101,21,27,1668
MOT,MINOT INTERNATIONAL,MINOT,U,48,15,33,101,16,49,1700
BFM,MOBILE DOWNTOWN,MOBILE,U,30,37,35,88,4,4,26
MOB,MOBILE RGNL,MOBILE,U,30,41,29,88,14,34,219
MOD,MODESTO CITY CO HARRY SHAM,MODESTO,U,37,37,32,120,57,15,97
YQM,GREATER MONCTON INTERNATIONAL,MONCTON,C,46,6,44,64,40,43,232
MLU,MONROE RGNL,MONROE,U,32,30,39,92,2,15,79
YYY,MONT JOLI,MONT JOLI,C,48,36,31,68,12,29,172
MXF,MAXWELL AFB,MONTGOMERY,U,32,22,45,86,21,45,172
